songID,title,artist,repertoire,role,split,year,sourcePath,procPath,durationSec,sha256
1,"What_s Up (Official Music Video) [6NXnxTNIWkc]","4 Non Blondes",american,db,test,0,"american/4 Non Blondes - What_s Up (Official Music Video) [6NXnxTNIWkc].wav",mono8k/song_0001.wav,292.59475,8954123c2c321adc4862b9f71f2c6c3335a5561362f24c74a2335dbfdafe4f95
2,"Into You (Official Video) [1ekZEVeXwek]","Ariana Grande",american,db,test,0,"american/Ariana Grande - Into You (Official Video) [1ekZEVeXwek].wav",mono8k/song_0002.wav,254.8275,0e21bb77e0e50b08d3287cab09c67317ea9c51140643950fcb773d72b4d11186
3,"One Last Time (Official Lyric Video) [Wg92RrNhB8s]","Ariana Grande",american,db,test,0,"american/Ariana Grande - One Last Time (Official Lyric Video) [Wg92RrNhB8s].wav",mono8k/song_0003.wav,198.890625,cbed2b123cef673dc2e72069c521fee28e4320a8a80ebfba32da64931368b4e6
4,"Kings & Queens [Official Music Video] [jH1RNk8954Q]","Ava Max",american,db,test,0,"american/Ava Max - Kings & Queens [Official Music Video] [jH1RNk8954Q].wav",mono8k/song_0004.wav,162.388875,0e789f1a4672fa729a05616667cffef4f7134f45acfbccaec64de6a453637428
5,"Sweet but Psycho [Official Music Video] [WXBHCQYxwr0]","Ava Max",american,db,dev,0,"american/Ava Max - Sweet but Psycho [Official Music Video] [WXBHCQYxwr0].wav",mono8k/song_0005.wav,207.1685,ab9c8b98e0ae96b323bfc313753c5956091b67e0a78e267f6fd78bda0cd3853d
6,"I Want It That Way (Official HD Video) [4fndeDfaWCg]","Backstreet Boys",american,db,dev,0,"american/Backstreet Boys - I Want It That Way (Official HD Video) [4fndeDfaWCg].wav",mono8k/song_0006.wav,219.266125,312e899adc439bd396ffe2c8ed8af4974417fe0dd6c67b34709ab3d45a7cc4c3
7,"Meant to Be (feat. Florida Georgia Line) [Official Music Video] [zDo0H8Fm7d0]","Bebe Rexha",american,db,dev,0,"american/Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video] [zDo0H8Fm7d0].wav",mono8k/song_0007.wav,177.934625,1a868dd70dae8793aebbac0aef5be4556a64aebaf6f5b5d608ad6818f432d653
8,"Ain_t No Sunshine (Official Audio) [YuKfiH0Scao]","Bill Withers",american,db,test,0,"american/Bill Withers - Ain_t No Sunshine (Official Audio) [YuKfiH0Scao].wav",mono8k/song_0008.wav,126.4,9b0666819089c538a72bd0918a9b0b97bc8bded831d4ebc77918155e2933a917
9,"lovely [V1Pl8CzNzCw]","Billie Eilish, Khalid",american,db,test,0,"american/Billie Eilish, Khalid - lovely [V1Pl8CzNzCw].wav",mono8k/song_0009.wav,200.469375,460c999b249885725a2250b22ae19c362f6416b594c38154d064a9a2f42af3c7
10,"No Diggity (Official Music Video) ft. Dr. Dre, Queen Pen [3KL9mRus19o]","Blackstreet",american,db,test,0,"american/Blackstreet - No Diggity (Official Music Video) ft. Dr. Dre, Queen Pen [3KL9mRus19o].wav",mono8k/song_0010.wav,270.47775,97b183cbbe004dcc88c8ec5c166908d46a64e33fc318e44f57d2b69119e41337
11,"When I Was Your Man (Official Music Video) [ekzHIouo8Q4]","Bruno Mars",american,db,dev,0,"american/Bruno Mars - When I Was Your Man (Official Music Video) [ekzHIouo8Q4].wav",mono8k/song_0011.wav,234.068875,95da5c138168d41c57f5363a86aad633167bfb44281d01827cadb0e20b917800
12,"We Don_t Talk Anymore (feat. Selena Gomez) [Official Video] [3AtDnEC4zak]","Charlie Puth",american,db,test,0,"american/Charlie Puth - We Don_t Talk Anymore (feat. Selena Gomez) [Official Video] [3AtDnEC4zak].wav",mono8k/song_0012.wav,230.4465,892500b4a8f9dba8f5c273c5744b86558a30c7e90e213780ab2524c6439935dd
13,"Say My Name (Official Video) [sQgd6MccwZc]","Destiny_s Child",american,db,test,0,"american/Destiny_s Child - Say My Name (Official Video) [sQgd6MccwZc].wav",mono8k/song_0013.wav,239.44425,08d2a3244a5fc5697c7f4b173e9c361eb995cd5bff4d534666d89009a0fce24e
14,"End Of Beginning (Official Audio) [xy3AcmW0lrQ]","Djo",american,db,test,0,"american/Djo - End Of Beginning (Official Audio) [xy3AcmW0lrQ].wav",mono8k/song_0014.wav,159.3005,670871eb81fe020bbab8ce36284249447b501a19d6c1b5f478e27aeebc8f39b7
15,"Kiss Me More (Official Video) ft. SZA [0EVVKs6DQLo]","Doja Cat",american,db,test,0,"american/Doja Cat - Kiss Me More (Official Video) ft. SZA [0EVVKs6DQLo].wav",mono8k/song_0015.wav,315.524375,18a076f5f314fde590f714025f3a6fef2105dee77d7208e7543317f182a132d9
16,"Iris [Official Music Video] [4K Remaster] [NdYWuo9OFAw]","Goo Goo Dolls",american,db,test,0,"american/Goo Goo Dolls - Iris [Official Music Video] [4K Remaster] [NdYWuo9OFAw].wav",mono8k/song_0016.wav,215.550875,dbddb5810f5b9817a5d79f1a4d796ebd05f932b4f7b511da6b596c7f5239d773
17,"Best Part (Lyrics) Ft. Daniel Caesar [75-Com9Bo_s]","H.E.R.",american,db,test,0,"american/H.E.R. - Best Part (Lyrics) Ft. Daniel Caesar [75-Com9Bo_s].wav",mono8k/song_0017.wav,209.455625,420fcd8d30f7d8cd260000a44713d55516e678e131d1a1b9a9c228f4bc571351
18,"Love Myself (Official Video) [bMpFmHSgC4Q]","Hailee Steinfeld",american,db,test,0,"american/Hailee Steinfeld - Love Myself (Official Video) [bMpFmHSgC4Q].wav",mono8k/song_0018.wav,240.106,2909f64c24d9f041dc7a235d44d0719196ae95ad62a566274c0820ab29638362
19,"Next To Me (Audio) [-C_rvt0SwLE]","Imagine Dragons",american,db,test,0,"american/Imagine Dragons - Next To Me (Audio) [-C_rvt0SwLE].wav",mono8k/song_0019.wav,229.7035,8307b31cb07eb1f873dd577b25130fe2c98fb7e1df7d2e70225cf32c8efd3e53
20,"Thunder [fKopy74weus]","Imagine Dragons",american,db,test,0,"american/Imagine Dragons - Thunder [fKopy74weus].wav",mono8k/song_0020.wav,203.97575,f2442d0349e5402d2f269ab2059b5b972e2e7a6082fed1029f792f4a7b136a10
21,"I_m Yours (Official Video) [7gO-jFLIgdk]","Jason Mraz",american,db,test,0,"american/Jason Mraz - I_m Yours (Official Video) [7gO-jFLIgdk].wav",mono8k/song_0021.wav,220.97275,7061274a6dc1b1e7d0f48b65ff238611928307e70ee6c45b6aa6152cf1bb1d4b
22,"comethru (Official Video) [jO2viLEW-1A]","Jeremy Zucker",american,db,dev,0,"american/Jeremy Zucker - comethru (Official Video) [jO2viLEW-1A].wav",mono8k/song_0022.wav,180.65075,ddc283098edda3e4afd2d730201ac523b3e8282a5885aeaabb36d5e54105c946
23,"CAN_T STOP THE FEELING! (from DreamWorks Animation_s ＂TROLLS＂) (Official Video) [ru0K8uYEZWw]","Justin Timberlake",american,db,test,0,"american/Justin Timberlake - CAN_T STOP THE FEELING! (from DreamWorks Animation_s ＂TROLLS＂) (Official Video) [ru0K8uYEZWw].wav",mono8k/song_0023.wav,285.83775,218c1026949050fb3870e9c31fdac2ba28db4a301f5e3ef201eb081b843165f6
24,"Firework (Official Music Video) [QGJuMBdaqIw]","Katy Perry",american,db,test,0,"american/Katy Perry - Firework (Official Music Video) [QGJuMBdaqIw].wav",mono8k/song_0024.wav,233.2445,5f772a782522a14da9a0b629c67b237ce322eba7fc689e4a7639d6e2b4f803f1
