queryID,songID,repertoire,role,split,lengthSec,startSample,rep,noiseType,noiseFile,noiseStartSample,targetSnrDb,seed
1,1,american,db,test,3,876996,1,none,,0,Inf,670094958
2,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,10,669991363
3,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,5,249467215
4,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,0,3720198217
5,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,-5,2581769316
6,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,-10,3041148564
7,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,-15,88409730
8,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,-20,4165731094
9,1,american,db,test,3,876996,1,cafe,PCAFETER_ch01_8k.wav,2258929,-25,3575313917
10,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,10,911989536
11,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,5,780932288
12,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,0,787716372
13,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,-5,1306710483
14,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,-10,2253811712
15,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,-15,1855189728
16,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,-20,1250819633
17,1,american,db,test,3,876996,1,traffic,STRAFFIC_ch01_8k.wav,1739242,-25,2627888172
18,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,10,599121570
19,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,5,1254751711
20,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,0,1573512135
21,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,-5,1958805666
22,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,-10,3372305075
23,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,-15,857592364
24,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,-20,2208620095
25,1,american,db,test,3,876996,1,crowd,SPSQUARE_ch01_8k.wav,1422433,-25,2544401198
26,1,american,db,test,3,202253,2,none,,0,Inf,4075432349
27,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,10,4147358001
28,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,5,3472040171
29,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,0,1308306176
30,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,-5,419498536
31,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,-10,2938758471
32,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,-15,1890440565
33,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,-20,524150228
34,1,american,db,test,3,202253,2,cafe,PCAFETER_ch01_8k.wav,1443547,-25,2126768634
35,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,10,147697574
36,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,5,3905501387
37,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,0,1111451558
38,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,-5,2845511543
39,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,-10,1338788877
40,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,-15,2233675142
41,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,-20,2348102770
42,1,american,db,test,3,202253,2,traffic,STRAFFIC_ch01_8k.wav,405171,-25,793943841
43,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,10,4164334266
44,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,5,3329170125
45,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,0,4035117227
46,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,-5,3843254204
47,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,-10,2567960855
48,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,-15,3959419689
49,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,-20,380072403
50,1,american,db,test,3,202253,2,crowd,SPSQUARE_ch01_8k.wav,154565,-25,841739985
51,1,american,db,test,3,199738,3,none,,0,Inf,3559400498
52,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,10,1532243871
53,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,5,1206604531
54,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,0,2330861928
