holdoutID,holdoutTitle,holdoutArtist,bestMatchID,bestMatchTitle,bestMatchArtist,normScore,margin,suspect
58,Espresso [eVli-tstM5E],Sabrina Carpenter,119,Sweet Tooth’ Official Music Video,"BINI",0.0110887096774194,2.75,0
56,Circles [wXhTHyIgQ_U],Post Malone,83,b4 i let u go (Official Lyric Video),"Ryouji ft. CK YG",0.0100446428571429,2.25,0
52,Untitled (How Does It Feel) (Official Music Video) [SxVNOnPyvIU],D_Angelo,48,Eastside (official video) [56WBK4ZK_cw],"benny blanco, Halsey & Khalid",0.00964630225080386,2,0
67,DARATING DIN｜ OFFICIAL LYRIC VIDEO,TJ Monterde,115,Kung Wala Ka (Lyrics),"Hale",0.00960384153661465,1.6,0
62,Ikot (Official Lyric Video),Over October,26,Young Dumb & Broke (Official Video) [IPfJnp1guPc],"Khalid",0.00924024640657084,1.5,0
55,High Hopes (Official Video) [IPXIgEAGe4U],Panic! At The Disco,4,Kings & Queens [Official Music Video] [jH1RNk8954Q],"Ava Max",0.00922131147540984,1.5,0
64,Miss Miss,Rob Deniel,105,Huling Sandali (Lyric Video),"December Avenue",0.00902527075812274,2,0
61,Sa Bawat Sandali (Lyrics),Amiel Sol,99,Misteryoso  (Official Lyric Video),"Cup of Joe",0.00889877641824249,2,0
54,Just Give Me A Reason ft. Nate Ruess [OpQFFLBMEPI],P!nk,118,Kahel na Langit (Official Music Video),"Maki",0.00801832760595647,1.4,0
121,Baka Bukas,Angela_Ken,76,BMW (Ft. leslie) Lyrics,"Because",0.0074719800747198,1.2,0
65,Leonora (Official Lyric Video),SUGARCANE,7,Meant to Be (feat. Florida Georgia Line) [Official Music Video] [zDo0H8Fm7d0],"Bebe Rexha",0.00728155339805825,1.2,0
68,Arrowmance -  (Official Lyric Video),Rob Deniel,30,Girls Like You ft. Cardi B (Official Music Video) [aJOTlE1K90k],"Maroon 5",0.00723981900452489,1,0
51,no tears left to cry (Official Video) [ffxKSjUwKdU],Ariana Grande,104,Karera (Lyrics),"BINI",0.00690448791714614,1.5,0
66,MY THANG (Go Getta II) (Lyrics),O SIDE MAFIA,12,We Don_t Talk Anymore (feat. Selena Gomez) [Official Video] [3AtDnEC4zak],"Charlie Puth",0.00679501698754247,1.5,0
57,Fight Song (Official Video) [xo1VInw-SKc],Rachel Platten,33,drivers license (Official Video) [ZmDBbnmKpqQ],"Olivia Rodrigo",0.00676437429537768,1.2,0
69,Kailan (Official Lyric Video),Maki,1,What_s Up (Official Music Video) [6NXnxTNIWkc],"4 Non Blondes",0.00667408231368187,1.2,0
63,Falling In love (Music Video),Darin feat. Eloise,87,Namumula (Lyrics),"Maki",0.00638297872340425,1,0
53,Counting Stars [hT_nvWreIhg],OneRepublic,12,We Don_t Talk Anymore (feat. Selena Gomez) [Official Video] [3AtDnEC4zak],"Charlie Puth",0.00623700623700624,1.2,0
60,Stressed Out [OFFICIAL VIDEO] [pXRviuL6vMY],twenty one pilots,1,What_s Up (Official Music Video) [6NXnxTNIWkc],"4 Non Blondes",0.00594648166501487,1,0
59,Blank Space [e-ORhEE9VVg],Taylor Swift,118,Kahel na Langit (Official Music Video),"Maki",0.00578034682080925,1.25,0
