lengthSec,snrDb,n,top1,ciLo,ciHi,medNormScore,medMargin,minMargin,medScore1,medQueryHashes
3,Inf,30,1,0.886486606826031,1,0.242251116364592,14.1666666666667,6,58,233.5
3,10,90,1,0.959064374435673,1,0.230980392156863,12.7083333333333,3.66666666666667,55,243.5
3,5,90,1,0.959064374435673,1,0.183089673303196,12,1.33333333333333,42.5,246.5
3,0,90,0.977777777777778,0.922554733113746,0.993884558013675,0.126179213407217,8.66666666666667,1,31,248.5
3,-5,90,0.911111111111111,0.834294533739459,0.954269507463205,0.0704081632653061,5,1,17,263.5
3,-10,90,0.677777777777778,0.575668378327957,0.765332288138061,0.0317150006702712,2.875,1,9,271
3,-15,90,0.4,0.304890198753375,0.503296926359491,0.0140189977071733,1.33333333333333,1,4,271.5
3,-20,90,0.122222222222222,0.0696361596548238,0.20573742410489,0.0118343655659643,1,1,3,270
3,-25,90,0.0777777777777778,0.038184815317289,0.15193860182592,0.0111524163568773,1,1,3,272.5
10,Inf,30,1,0.886486606826031,1,0.281829863228504,42.55,15.8571428571429,234,906.5
10,10,90,1,0.959064374435673,1,0.224075550829937,36.4,14.7142857142857,199.5,915
10,5,90,1,0.959064374435673,1,0.186285533068097,33.1,15,167,929
10,0,90,1,0.959064374435673,1,0.141322843966559,24.675,1.25,135,959.5
10,-5,90,0.977777777777778,0.922554733113746,0.993884558013675,0.0784023576696776,16.525,1.33333333333333,83,975
10,-10,90,0.888888888888889,0.80742214978739,0.938516808107023,0.0370114576435977,8.12857142857143,1,39.5,989.5
10,-15,90,0.622222222222222,0.518997640581835,0.715440317613552,0.00883416752142025,2,1,9,1012
10,-20,90,0.333333333333333,0.244535052794446,0.435776822393662,0.00430491312340627,1.33333333333333,1,4,1005.5
10,-25,90,0.111111111111111,0.0614831918929771,0.19257785021261,0.00374358623999944,1.125,1,4,1003.5
