tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0,1,0.664444444444444,0.996666666666667,1,0.797333333333333,1794,2700,900
0,1.1,0.77686308492201,0.996111111111111,0.568888888888889,0.872930866601753,1793,2308,512
0,1.25,0.822099954149473,0.996111111111111,0.427777777777778,0.900778698819392,1793,2181,385
0,1.5,0.933854166666667,0.996111111111111,0.141111111111111,0.963978494623656,1793,1920,127
0,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0,4,1,0.97,0,0.984771573604061,1746,1746,0
0,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0,7,1,0.895,0,0.944591029023747,1611,1611,0
0,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00314795383001049,1,0.664444444444444,0.996666666666667,1,0.797333333333333,1794,2700,900
0.00314795383001049,1.1,0.77686308492201,0.996111111111111,0.568888888888889,0.872930866601753,1793,2308,512
0.00314795383001049,1.25,0.822099954149473,0.996111111111111,0.427777777777778,0.900778698819392,1793,2181,385
0.00314795383001049,1.5,0.933854166666667,0.996111111111111,0.141111111111111,0.963978494623656,1793,1920,127
0.00314795383001049,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00314795383001049,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00314795383001049,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00314795383001049,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00314795383001049,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00314795383001049,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00314795383001049,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00314795383001049,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00420875806542151,1,0.670153156518491,0.996666666666667,0.974444444444444,0.801429528702256,1794,2677,877
0.00420875806542151,1.1,0.778211805555556,0.996111111111111,0.564444444444444,0.873781676413255,1793,2304,508
0.00420875806542151,1.25,0.823610473128158,0.996111111111111,0.423333333333333,0.901684686949962,1793,2177,381
0.00420875806542151,1.5,0.933854166666667,0.996111111111111,0.141111111111111,0.963978494623656,1793,1920,127
0.00420875806542151,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00420875806542151,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00420875806542151,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00420875806542151,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00420875806542151,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00420875806542151,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00420875806542151,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00420875806542151,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00473409938930419,1,0.675706214689266,0.996666666666667,0.95,0.805387205387205,1794,2655,855
0.00473409938930419,1.1,0.780583369612538,0.996111111111111,0.556666666666667,0.875274591164266,1793,2297,501
0.00473409938930419,1.25,0.826267281105991,0.996111111111111,0.415555555555556,0.903274559193955,1793,2170,374
0.00473409938930419,1.5,0.933854166666667,0.996111111111111,0.141111111111111,0.963978494623656,1793,1920,127
0.00473409938930419,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00473409938930419,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00473409938930419,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00473409938930419,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00473409938930419,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00473409938930419,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
