tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0,1,0.664074074074074,0.996111111111111,1,0.796888888888889,1793,2700,900
0,1.1,0.760712770470938,0.996111111111111,0.623333333333333,0.862641327880683,1793,2357,561
0,1.25,0.807570977917981,0.995555555555556,0.472222222222222,0.891764120427967,1792,2219,425
0,1.5,0.906281661600811,0.993888888888889,0.204444444444444,0.948065712771595,1789,1974,184
0,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00275482093663912,1,0.664074074074074,0.996111111111111,1,0.796888888888889,1793,2700,900
0.00275482093663912,1.1,0.760712770470938,0.996111111111111,0.623333333333333,0.862641327880683,1793,2357,561
0.00275482093663912,1.25,0.807570977917981,0.995555555555556,0.472222222222222,0.891764120427967,1792,2219,425
0.00275482093663912,1.5,0.906281661600811,0.993888888888889,0.204444444444444,0.948065712771595,1789,1974,184
0.00275482093663912,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.00275482093663912,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.00275482093663912,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00275482093663912,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00275482093663912,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00275482093663912,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00275482093663912,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00275482093663912,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00406091370558376,1,0.669529499626587,0.996111111111111,0.975555555555556,0.800803930326038,1793,2678,878
0.00406091370558376,1.1,0.762654189706508,0.996111111111111,0.616666666666667,0.863888219706095,1793,2351,555
0.00406091370558376,1.25,0.809760506100316,0.995555555555556,0.465555555555556,0.89309743334164,1792,2213,419
0.00406091370558376,1.5,0.906281661600811,0.993888888888889,0.204444444444444,0.948065712771595,1789,1974,184
0.00406091370558376,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.00406091370558376,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.00406091370558376,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00406091370558376,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00406091370558376,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00406091370558376,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00406091370558376,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00406091370558376,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00469745597877666,1,0.675329566854991,0.996111111111111,0.95,0.804938271604938,1793,2655,855
0.00469745597877666,1.1,0.764931740614334,0.996111111111111,0.608888888888889,0.86534749034749,1793,2344,548
0.00469745597877666,1.25,0.812330009066183,0.995555555555556,0.457777777777778,0.894658012980529,1792,2206,412
0.00469745597877666,1.5,0.906281661600811,0.993888888888889,0.204444444444444,0.948065712771595,1789,1974,184
0.00469745597877666,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.00469745597877666,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.00469745597877666,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00469745597877666,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00469745597877666,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00469745597877666,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00469745597877666,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00469745597877666,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00491883766581628,1,0.681231003039514,0.996111111111111,0.924444444444444,0.809115523465704,1793,2632,832
0.00491883766581628,1.1,0.768867924528302,0.996111111111111,0.595555555555556,0.867860600193611,1793,2332,536
0.00491883766581628,1.25,0.816773017319964,0.995555555555556,0.444444444444444,0.897346019028543,1792,2194,400
0.00491883766581628,1.5,0.906741003547897,0.993888888888889,0.203333333333333,0.948316989133316,1789,1973,183
0.00491883766581628,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.00491883766581628,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.00491883766581628,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00491883766581628,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00491883766581628,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00491883766581628,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00491883766581628,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00491883766581628,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00526407601474398,1,0.687236489076274,0.996111111111111,0.898888888888889,0.813336357450669,1793,2609,809
0.00526407601474398,1.1,0.77351164797239,0.996111111111111,0.58,0.870811073336571,1793,2318,522
0.00526407601474398,1.25,0.822018348623853,0.995555555555556,0.428888888888889,0.900502512562814,1792,2180,386
0.00526407601474398,1.5,0.906741003547897,0.993888888888889,0.203333333333333,0.948316989133316,1789,1973,183
0.00526407601474398,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.00526407601474398,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.00526407601474398,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00526407601474398,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00526407601474398,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00526407601474398,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00526407601474398,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00526407601474398,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00548311457114969,1,0.693080788558175,0.996111111111111,0.874444444444444,0.817415090038751,1793,2587,787
0.00548311457114969,1.1,0.775183744055339,0.996111111111111,0.574444444444444,0.87186968149769,1793,2313,517
0.00548311457114969,1.25,0.823908045977012,0.995555555555556,0.423333333333333,0.901635220125786,1792,2175,381
0.00548311457114969,1.5,0.906741003547897,0.993888888888889,0.203333333333333,0.948316989133316,1789,1973,183
0.00548311457114969,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.00548311457114969,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.00548311457114969,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00548311457114969,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00548311457114969,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00548311457114969,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00548311457114969,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
